,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
88,Diamond Princess,Canada,0.0,0.0,2020-02-13,0,0,0,0
89,Grand Princess,Canada,0.0,0.0,2020-02-13,0,0,0,0
90, ,Diamond Princess,0.0,0.0,2020-02-13,175,0,0,175
91, ,MS Zaandam,0.0,0.0,2020-02-13,0,0,0,0
92,Diamond Princess,Canada,0.0,0.0,2020-02-14,0,0,0,0
93,Grand Princess,Canada,0.0,0.0,2020-02-14,0,0,0,0
94, ,Diamond Princess,0.0,0.0,2020-02-14,218,0,0,218
95, ,MS Zaandam,0.0,0.0,2020-02-14,0,0,0,0
96,Diamond Princess,Canada,0.0,0.0,2020-02-15,0,0,0,0
97,Grand Princess,Canada,0.0,0.0,2020-02-15,0,0,0,0
98, ,Diamond Princess,0.0,0.0,2020-02-15,285,0,0,285
99, ,MS Zaandam,0.0,0.0,2020-02-15,0,0,0,0
100,Diamond Princess,Canada,0.0,0.0,2020-02-16,0,0,0,0
101,Grand Princess,Canada,0.0,0.0,2020-02-16,0,0,0,0
102, ,Diamond Princess,0.0,0.0,2020-02-16,355,0,0,355
103, ,MS Zaandam,0.0,0.0,2020-02-16,0,0,0,0
104,Diamond Princess,Canada,0.0,0.0,2020-02-17,0,0,0,0
105,Grand Princess,Canada,0.0,0.0,2020-02-17,0,0,0,0
106, ,Diamond Princess,0.0,0.0,2020-02-17,454,0,0,454
107, ,MS Zaandam,0.0,0.0,2020-02-17,0,0,0,0
108,Diamond Princess,Canada,0.0,0.0,2020-02-18,0,0,0,0
109,Grand Princess,Canada,0.0,0.0,2020-02-18,0,0,0,0
110, ,Diamond Princess,0.0,0.0,2020-02-18,542,0,0,542
111, ,MS Zaandam,0.0,0.0,2020-02-18,0,0,0,0
112,Diamond Princess,Canada,0.0,0.0,2020-02-19,0,0,0,0
113,Grand Princess,Canada,0.0,0.0,2020-02-19,0,0,0,0
114, ,Diamond Princess,0.0,0.0,2020-02-19,621,0,1,620
115, ,MS Zaandam,0.0,0.0,2020-02-19,0,0,0,0
116,Diamond Princess,Canada,0.0,0.0,2020-02-20,0,0,0,0
117,Grand Princess,Canada,0.0,0.0,2020-02-20,0,0,0,0
